,Meanfpdm,S.D.fpdm,Meancingdm,S.D.cingdm,Meansaldm,S.D.saldm
801,0.129771733,0.166662801,0.102556593,0.157632449,0.112378955,0.163718446
814,0.14353381,0.177331956,0.1376714,0.172918529,0.153381685,0.178555899
815,0.110683963,0.160584338,0.102713709,0.150698862,0.114435397,0.168525792
893,0.108860886,0.155678837,0.098543534,0.15107505,0.127164909,0.166544205
915,0.115361408,0.161228387,0.116319523,0.163748678,0.112408295,0.155979299
932,0.111594966,0.153476141,0.112556778,0.153989649,0.109274528,0.158929535
942,0.106874859,0.151649396,0.124113481,0.172785367,0.111326014,0.15572429
821,0.127718476,0.16347883,0.09814669,0.149244208,0.136874378,0.169731339
823,0.159177257,0.182896217,0.109491248,0.160936381,0.092430104,0.14848519
825,0.131271142,0.175247366,0.126356574,0.168193231,0.107781294,0.167943416
831,0.11234507,0.15467398,0.141693685,0.16644012,0.136061724,0.177476959
834,0.11109443,0.153386799,0.126388852,0.168346665,0.136319298,0.167243807
848,0.122420967,0.162047403,0.156520152,0.191719726,0.145436343,0.167285
849,0.141437349,0.177386777,0.129041811,0.173842444,0.110300469,0.159580921
857,0.097846439,0.150226636,0.109414935,0.160090468,0.124422035,0.170914998
858,0.096783653,0.16036403,0.11304064,0.168444575,0.139398266,0.173428496
860,0.13903046,0.180303047,0.161909741,0.193173874,0.115355932,0.168470872
878,0.103514659,0.155634004,0.123231779,0.173234244,0.105116138,0.160793327
879,0.094924705,0.155477291,0.134099699,0.172460097,0.123216325,0.168454173
884,0.114636085,0.170806851,0.110263797,0.160775833,0.109493934,0.158801949
904,0.110373701,0.159074727,0.111799782,0.164100373,0.103063997,0.158412971
906,0.111325094,0.172477608,0.108736904,0.159074632,0.126456341,0.168673621
918,0.096912154,0.155428073,0.136219825,0.175492381,0.175574403,0.183978438
931,0.1108205,0.164686137,0.098190815,0.156139849,0.133844084,0.178594959
939,0.1358839,0.172360538,0.107724883,0.168780907,0.112352368,0.160056917
